,day,AAL,UAL,ANA,KLM,AFR,JAL,AXM,EZY,JST,ROU,RYR,TRA,CLX,FDX,GEC,GTI,UPS
0,2020-01-01 00:00:00+00:00,2642,1836,649,400,663,422,526.0,712.0,333.0,177.0,1801.0,92.0,25,390,9,30,262
1,2020-01-02 00:00:00+00:00,3022,2103,604,422,683,395,511.0,789.0,314.0,186.0,2111.0,109.0,28,493,6,37,346
2,2020-01-03 00:00:00+00:00,3054,2137,647,478,759,413,533.0,833.0,329.0,181.0,2312.0,129.0,32,874,10,81,663
3,2020-01-04 00:00:00+00:00,2987,2108,644,427,702,432,548.0,730.0,336.0,182.0,2168.0,130.0,31,586,12,95,304
4,2020-01-05 00:00:00+00:00,3056,2121,650,441,767,452,541.0,864.0,338.0,176.0,2278.0,126.0,35,280,13,90,158
5,2020-01-06 00:00:00+00:00,3117,2141,629,436,811,436,513.0,702.0,331.0,195.0,2255.0,114.0,37,141,14,92,173
6,2020-01-07 00:00:00+00:00,2716,1893,563,405,758,396,468.0,460.0,313.0,165.0,1958.0,104.0,22,756,12,94,709
7,2020-01-08 00:00:00+00:00,2544,1883,578,416,793,407,490.0,422.0,323.0,162.0,1583.0,94.0,32,933,19,111,794
8,2020-01-09 00:00:00+00:00,2937,1959,635,437,748,434,488.0,551.0,326.0,184.0,1666.0,103.0,38,889,17,94,770
9,2020-01-10 00:00:00+00:00,2932,1960,637,468,800,422,508.0,719.0,326.0,167.0,2140.0,122.0,37,781,19,100,659
10,2020-01-11 00:00:00+00:00,2561,1877,630,353,681,432,498.0,504.0,321.0,164.0,1955.0,93.0,37,474,20,101,272
11,2020-01-12 00:00:00+00:00,2555,1705,596,391,699,407,472.0,772.0,317.0,145.0,2035.0,120.0,39,238,21,82,122
12,2020-01-13 00:00:00+00:00,2978,1962,599,440,793,415,480.0,585.0,317.0,174.0,2026.0,84.0,34,147,18,94,160
13,2020-01-14 00:00:00+00:00,2773,1920,629,418,752,423,486.0,383.0,318.0,158.0,1264.0,53.0,27,846,18,98,733
14,2020-01-15 00:00:00+00:00,2600,1894,602,423,764,427,484.0,374.0,298.0,141.0,1390.0,59.0,29,918,20,111,761
15,2020-01-16 00:00:00+00:00,2859,1866,601,427,771,420,498.0,521.0,318.0,152.0,1714.0,93.0,45,861,19,104,771
16,2020-01-17 00:00:00+00:00,3136,2104,599,445,809,427,535.0,715.0,340.0,166.0,2136.0,85.0,38,816,21,111,642
17,2020-01-18 00:00:00+00:00,2212,1447,480,379,626,334,428.0,483.0,266.0,126.0,1987.0,92.0,38,428,24,80,246
18,2020-01-19 00:00:00+00:00,2440,1650,540,445,676,379,492.0,766.0,307.0,140.0,2040.0,125.0,44,210,21,77,122
19,2020-01-20 00:00:00+00:00,2894,1890,586,436,787,409,509.0,576.0,311.0,175.0,2027.0,77.0,38,151,25,97,158
20,2020-01-21 00:00:00+00:00,2695,1873,566,404,721,394,527.0,382.0,302.0,147.0,1386.0,58.0,24,743,19,87,704
21,2020-01-22 00:00:00+00:00,2564,1893,601,432,785,413,543.0,364.0,327.0,136.0,1368.0,64.0,36,874,23,109,753
22,2020-01-23 00:00:00+00:00,2926,1918,609,451,792,420,569.0,518.0,327.0,157.0,1708.0,103.0,41,888,23,111,748
23,2020-01-24 00:00:00+00:00,2955,1963,593,434,792,424,547.0,720.0,338.0,159.0,2115.0,82.0,37,792,23,105,632
24,2020-01-25 00:00:00+00:00,2648,1823,536,319,598,397,502.0,498.0,305.0,155.0,1930.0,78.0,39,443,23,91,258
25,2020-01-26 00:00:00+00:00,2590,1739,580,402,729,406,519.0,766.0,325.0,154.0,2099.0,111.0,42,232,25,76,109
26,2020-01-27 00:00:00+00:00,2869,1924,568,436,802,395,538.0,587.0,318.0,166.0,2045.0,88.0,41,139,16,88,144
27,2020-01-28 00:00:00+00:00,2745,1933,584,442,768,424,566.0,376.0,324.0,152.0,1415.0,56.0,22,832,16,83,728
28,2020-01-29 00:00:00+00:00,2554,1912,599,433,775,419,548.0,366.0,265.0,150.0,1373.0,69.0,18,883,17,103,741
29,2020-01-30 00:00:00+00:00,2770,1850,535,408,734,377,537.0,552.0,250.0,145.0,1655.0,94.0,22,795,16,90,707
30,2020-01-31 00:00:00+00:00,2964,1950,578,440,817,407,545.0,731.0,282.0,152.0,2145.0,94.0,17,768,16,94,641
31,2020-02-01 00:00:00+00:00,2779,1897,581,372,662,422,585.0,504.0,278.0,162.0,1963.0,90.0,21,492,18,80,268
32,2020-02-02 00:00:00+00:00,2571,1779,579,413,731,422,581.0,766.0,295.0,174.0,2089.0,117.0,28,234,19,77,108
33,2020-02-03 00:00:00+00:00,2928,1953,591,467,792,422,552.0,633.0,296.0,176.0,2053.0,96.0,22,138,13,84,156
